"year","time_actually_taken"
"2013","Hours: 2 minutes: 17 seconds: 13.712533"
"1993","Hours: 2 minutes: 15 seconds: 35.481806"
"2002","Hours: 2 minutes: 13 seconds: 39.91569"
"2008","Hours: 2 minutes: 13 seconds: 3.7702020000000003"
"2022","Hours: 2 minutes: 13 seconds: 2.003698"
"1995","Hours: 2 minutes: 13 seconds: 0.053404"
"2016","Hours: 2 minutes: 12 seconds: 50.458354"
"2011","Hours: 2 minutes: 12 seconds: 19.240745"
"2020","Hours: 2 minutes: 11 seconds: 58.890476"
"2012","Hours: 2 minutes: 11 seconds: 47.533684"
"2021","Hours: 2 minutes: 11 seconds: 44.547326"
"2009","Hours: 2 minutes: 11 seconds: 18.622594"
"2007","Hours: 2 minutes: 11 seconds: 8.918642"
"2010","Hours: 2 minutes: 11 seconds: 7.80824"
"1999","Hours: 2 minutes: 11 seconds: 5.102046"
"1996","Hours: 2 minutes: 11 seconds: 0.084763"
"2000","Hours: 2 minutes: 10 seconds: 55.241739"
"2019","Hours: 2 minutes: 10 seconds: 40.488303"
"1994","Hours: 2 minutes: 10 seconds: 38.998756"
"2018","Hours: 2 minutes: 10 seconds: 37.01392"
"2001","Hours: 2 minutes: 10 seconds: 34.039781"
"2004","Hours: 2 minutes: 10 seconds: 29.774281"
"2006","Hours: 2 minutes: 10 seconds: 15.623512"
"2014","Hours: 2 minutes: 10 seconds: 5.558445"
"1997","Hours: 2 minutes: 9 seconds: 46.934207"
"2015","Hours: 2 minutes: 9 seconds: 36.903552"
"1992","Hours: 2 minutes: 9 seconds: 32.062921"
"2005","Hours: 2 minutes: 9 seconds: 0.174073"
"2017","Hours: 2 minutes: 8 seconds: 39.348444"
"2003","Hours: 2 minutes: 8 seconds: 36.218084"
"1998","Hours: 2 minutes: 8 seconds: 6.538161"
